Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 13:33:12,2022-01-26 13:33:27,14.338s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 13:33:12,2022-01-26 13:33:22,9.165s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:33:12,2022-01-26 13:33:16,3.685s,PASSED
"ids = [""932474"", ""932470"", ""932456"", ""11112"", ""932447"", ""failed"", ""932444""]",,,,2022-01-26 13:33:16,2022-01-26 13:33:16,0.000s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:33:16,2022-01-26 13:33:16,0.001s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:33:16,2022-01-26 13:33:16,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:33:16,2022-01-26 13:33:16,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:33:16,2022-01-26 13:33:16,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:33:16,2022-01-26 13:33:16,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:33:16,2022-01-26 13:33:16,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 13:33:16,2022-01-26 13:33:22,5.312s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:33:22,2022-01-26 13:33:22,0.005s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 13:33:22,2022-01-26 13:33:27,5.018s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:33:22,2022-01-26 13:33:23,1.820s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-26 13:33:24,2022-01-26 13:33:24,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-26 13:33:24,2022-01-26 13:33:24,0.001s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-26 13:33:24,2022-01-26 13:33:24,0.000s,PASSED
"emailBody = """"",,,,2022-01-26 13:33:24,2022-01-26 13:33:24,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-26 13:33:24,2022-01-26 13:33:27,3.033s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:33:27,2022-01-26 13:33:27,0.001s,PASSED
