Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-24 00:59:34,2022-01-24 00:59:49,14.888s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-24 00:59:34,2022-01-24 00:59:43,8.854s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 00:59:34,2022-01-24 00:59:37,3.303s,PASSED
"ids = [932474, 932470, 932456, 11112, 932447, ""failed"", 932444]",,,,2022-01-24 00:59:38,2022-01-24 00:59:38,0.001s,PASSED
responseCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 00:59:38,2022-01-24 00:59:38,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 00:59:38,2022-01-24 00:59:38,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 00:59:38,2022-01-24 00:59:38,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-24 00:59:38,2022-01-24 00:59:43,5.336s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-24 00:59:43,2022-01-24 00:59:43,0.007s,PASSED
,,,,,,,
Test Cases/sendEmailtest,,,,2022-01-24 00:59:43,2022-01-24 00:59:49,5.874s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 00:59:43,2022-01-24 00:59:45,1.650s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-24 00:59:45,2022-01-24 00:59:45,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-24 00:59:45,2022-01-24 00:59:45,0.000s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-24 00:59:45,2022-01-24 00:59:45,0.001s,PASSED
"emailBody = """"",,,,2022-01-24 00:59:45,2022-01-24 00:59:45,0.000s,PASSED
sendEmail().sendMailByGroovy(),,,,2022-01-24 00:59:45,2022-01-24 00:59:47,2.085s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-24 00:59:47,2022-01-24 00:59:49,1.964s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-24 00:59:49,2022-01-24 00:59:49,0.001s,PASSED
