Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 13:35:33,2022-01-26 13:35:46,13.005s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 13:35:33,2022-01-26 13:35:42,8.630s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:35:33,2022-01-26 13:35:36,3.421s,PASSED
"ids = [""932474"", ""932470"", ""932456"", ""11112"", ""932447"", ""failed"", ""932444""]",,,,2022-01-26 13:35:37,2022-01-26 13:35:37,0.001s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:35:37,2022-01-26 13:35:37,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:35:37,2022-01-26 13:35:37,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:35:37,2022-01-26 13:35:37,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:35:37,2022-01-26 13:35:37,0.001s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:35:37,2022-01-26 13:35:37,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:35:37,2022-01-26 13:35:37,0.001s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 13:35:37,2022-01-26 13:35:42,5.037s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:35:42,2022-01-26 13:35:42,0.007s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 13:35:42,2022-01-26 13:35:46,4.222s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:35:42,2022-01-26 13:35:43,1.641s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-26 13:35:43,2022-01-26 13:35:43,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-26 13:35:43,2022-01-26 13:35:43,0.000s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-26 13:35:43,2022-01-26 13:35:43,0.000s,PASSED
"emailBody = """"",,,,2022-01-26 13:35:43,2022-01-26 13:35:43,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-26 13:35:43,2022-01-26 13:35:46,2.402s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:35:46,2022-01-26 13:35:46,0.001s,PASSED
