Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 15:26:49,2022-01-26 15:27:30,40.569s,FAILED
,,,,,,,
Test Cases/CheckEpisodes,,,,2022-01-26 15:26:49,2022-01-26 15:27:30,40.351s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 15:26:49,2022-01-26 15:26:54,4.611s,PASSED
ids = CropResponse().getIdsList(Episodes),,,,2022-01-26 15:26:54,2022-01-26 15:26:57,2.620s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.001s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.001s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.000s,PASSED
urlFlag = true,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.001s,PASSED
DRMFlag = true,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.001s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:26:57,2022-01-26 15:26:57,0.001s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 15:26:57,2022-01-26 15:27:30,32.714s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 15:27:30,2022-01-26 15:27:30,0.010s,PASSED
