Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-24 00:59:14,2022-01-24 00:59:25,10.307s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-24 00:59:15,2022-01-24 00:59:20,5.726s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 00:59:15,2022-01-24 00:59:15,0.003s,PASSED
"ids = [932474, 932470, 932456, 11112, 932447, ""failed"", 932444]",,,,2022-01-24 00:59:15,2022-01-24 00:59:15,0.001s,PASSED
responseCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 00:59:15,2022-01-24 00:59:15,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 00:59:15,2022-01-24 00:59:15,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 00:59:15,2022-01-24 00:59:15,0.001s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-24 00:59:15,2022-01-24 00:59:20,5.494s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-24 00:59:20,2022-01-24 00:59:20,0.008s,PASSED
,,,,,,,
Test Cases/sendEmailtest,,,,2022-01-24 00:59:20,2022-01-24 00:59:25,4.414s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 00:59:20,2022-01-24 00:59:20,0.000s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-24 00:59:21,2022-01-24 00:59:21,0.002s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-24 00:59:21,2022-01-24 00:59:21,0.003s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-24 00:59:21,2022-01-24 00:59:21,0.001s,PASSED
"emailBody = """"",,,,2022-01-24 00:59:21,2022-01-24 00:59:21,0.000s,PASSED
sendEmail().sendMailByGroovy(),,,,2022-01-24 00:59:21,2022-01-24 00:59:23,2.282s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-24 00:59:23,2022-01-24 00:59:25,1.958s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-24 00:59:25,2022-01-24 00:59:25,0.001s,PASSED
