Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 14:31:00,2022-01-26 14:31:07,6.210s,ERROR
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 14:31:00,2022-01-26 14:31:05,4.170s,ERROR
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:31:01,2022-01-26 14:31:04,3.957s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:31:05,2022-01-26 14:31:05,0.008s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 14:31:05,2022-01-26 14:31:07,1.891s,ERROR
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:31:05,2022-01-26 14:31:06,1.715s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:31:07,2022-01-26 14:31:07,0.003s,PASSED
