Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-24 01:16:14,2022-01-24 01:16:20,6.630s,ERROR
,,,,,,,
Test Cases/CheckClips,,,,2022-01-24 01:16:14,2022-01-24 01:16:19,4.765s,ERROR
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:16:14,2022-01-24 01:16:18,3.682s,PASSED
"ids = [932474, 932470, 932456, 11112, 932447, ""failed"", 932444]",,,,2022-01-24 01:16:18,2022-01-24 01:16:18,0.000s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:16:18,2022-01-24 01:16:18,0.001s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:16:18,2022-01-24 01:16:18,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:16:18,2022-01-24 01:16:18,0.001s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:16:18,2022-01-24 01:16:18,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-24 01:16:18,2022-01-24 01:16:19,0.889s,ERROR
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:16:19,2022-01-24 01:16:19,0.007s,PASSED
,,,,,,,
Test Cases/sendEmailtest,,,,2022-01-24 01:16:19,2022-01-24 01:16:20,1.689s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:16:19,2022-01-24 01:16:20,1.486s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-24 01:16:20,2022-01-24 01:16:20,0.005s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-24 01:16:20,2022-01-24 01:16:20,0.005s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-24 01:16:20,2022-01-24 01:16:20,0.000s,PASSED
"emailBody = """"",,,,2022-01-24 01:16:20,2022-01-24 01:16:20,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-24 01:16:20,2022-01-24 01:16:20,0.000s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:16:20,2022-01-24 01:16:20,0.001s,PASSED
