Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 14:35:41,2022-01-26 14:36:22,41.352s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 14:35:41,2022-01-26 14:36:17,35.955s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:35:41,2022-01-26 14:35:44,3.304s,PASSED
ids = CropResponse().getIdsList(Clips),,,,2022-01-26 14:35:45,2022-01-26 14:35:47,2.205s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.001s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.000s,PASSED
urlFlag = true,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.001s,PASSED
DRMFlag = true,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:35:47,2022-01-26 14:35:47,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 14:35:47,2022-01-26 14:36:17,30.197s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:36:17,2022-01-26 14:36:17,0.007s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 14:36:17,2022-01-26 14:36:22,5.237s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:36:17,2022-01-26 14:36:19,1.716s,PASSED
ClipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.000s,PASSED
EpisodesFailedResult = getEpisodesFailedInstance().getEpisodesFailedResults(),,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.003s,PASSED
MoviesFailedResult = getMoviesFailedInstance().getMoviesFailedResults(),,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.004s,PASSED
ClipsFailedNum = ClipsFailedResult.size(),,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.000s,PASSED
EpisodesFailedNum = EpisodesFailedResult.size(),,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.000s,PASSED
MoviesFailedNum = MoviesFailedResult.size(),,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.000s,PASSED
"println(""ClipsFailedNum Size = "" + ClipsFailedNum)",,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.001s,PASSED
"println(""ClipsFailedNum Size = "" + EpisodesFailedNum)",,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.000s,PASSED
"println(""ClipsFailedNum Size = "" + EpisodesFailedNum)",,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.000s,PASSED
"emailBody = """"",,,,2022-01-26 14:36:19,2022-01-26 14:36:19,0.000s,PASSED
if (ClipsFailedNum > 0 || EpisodesFailedNum > 0 || EpisodesFailedNum > 0),,,,2022-01-26 14:36:19,2022-01-26 14:36:22,3.351s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:36:22,2022-01-26 14:36:22,0.001s,PASSED
