Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-24 01:35:45,2022-01-24 01:35:55,9.321s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-24 01:35:45,2022-01-24 01:35:50,4.797s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:35:45,2022-01-24 01:35:49,3.278s,PASSED
"ids = [""failed"", ""932444""]",,,,2022-01-24 01:35:49,2022-01-24 01:35:49,0.000s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:35:49,2022-01-24 01:35:49,0.001s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:35:49,2022-01-24 01:35:49,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:35:49,2022-01-24 01:35:49,0.001s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:35:49,2022-01-24 01:35:49,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-24 01:35:49,2022-01-24 01:35:50,1.333s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:35:50,2022-01-24 01:35:50,0.006s,PASSED
,,,,,,,
Test Cases/sendEmailtest,,,,2022-01-24 01:35:50,2022-01-24 01:35:55,4.367s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:35:50,2022-01-24 01:35:52,1.752s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-24 01:35:52,2022-01-24 01:35:52,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-24 01:35:52,2022-01-24 01:35:52,0.000s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-24 01:35:52,2022-01-24 01:35:52,0.001s,PASSED
"emailBody = """"",,,,2022-01-24 01:35:52,2022-01-24 01:35:52,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-24 01:35:52,2022-01-24 01:35:55,2.402s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:35:55,2022-01-24 01:35:55,0.001s,PASSED
