Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-24 01:51:11,2022-01-24 01:51:24,12.840s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-24 01:51:11,2022-01-24 01:51:20,8.809s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:51:11,2022-01-24 01:51:15,3.508s,PASSED
"ids = [""932474"", ""932470"", ""932456"", ""11112"", ""932447"", ""failed"", ""932444""]",,,,2022-01-24 01:51:15,2022-01-24 01:51:15,0.001s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:51:15,2022-01-24 01:51:15,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:51:15,2022-01-24 01:51:15,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:51:15,2022-01-24 01:51:15,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:51:15,2022-01-24 01:51:15,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-24 01:51:15,2022-01-24 01:51:20,5.119s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:51:20,2022-01-24 01:51:20,0.007s,PASSED
,,,,,,,
Test Cases/sendEmailtest,,,,2022-01-24 01:51:20,2022-01-24 01:51:24,3.873s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:51:20,2022-01-24 01:51:22,1.396s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-24 01:51:22,2022-01-24 01:51:22,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-24 01:51:22,2022-01-24 01:51:22,0.001s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-24 01:51:22,2022-01-24 01:51:22,0.000s,PASSED
"emailBody = """"",,,,2022-01-24 01:51:22,2022-01-24 01:51:22,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-24 01:51:22,2022-01-24 01:51:24,2.296s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:51:24,2022-01-24 01:51:24,0.000s,PASSED
