Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-24 01:42:59,2022-01-24 01:43:09,9.476s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-24 01:43:00,2022-01-24 01:43:05,5.122s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:43:00,2022-01-24 01:43:03,3.485s,PASSED
"ids = [""failed"", ""932444""]",,,,2022-01-24 01:43:03,2022-01-24 01:43:03,0.001s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:43:03,2022-01-24 01:43:03,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:43:03,2022-01-24 01:43:03,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:43:03,2022-01-24 01:43:03,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-24 01:43:03,2022-01-24 01:43:03,0.001s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-24 01:43:03,2022-01-24 01:43:05,1.375s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:43:05,2022-01-24 01:43:05,0.014s,PASSED
,,,,,,,
Test Cases/sendEmailtest,,,,2022-01-24 01:43:05,2022-01-24 01:43:09,4.170s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-24 01:43:05,2022-01-24 01:43:06,1.763s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-24 01:43:07,2022-01-24 01:43:07,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-24 01:43:07,2022-01-24 01:43:07,0.001s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-24 01:43:07,2022-01-24 01:43:07,0.000s,PASSED
"emailBody = """"",,,,2022-01-24 01:43:07,2022-01-24 01:43:07,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-24 01:43:07,2022-01-24 01:43:09,2.191s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-24 01:43:09,2022-01-24 01:43:09,0.002s,PASSED
