Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 14:53:53,2022-01-26 14:56:46,2m - 53.111s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 14:53:53,2022-01-26 14:54:23,29.826s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:53:53,2022-01-26 14:53:57,3.898s,PASSED
ids = CropResponse().getIdsList(Clips),,,,2022-01-26 14:53:57,2022-01-26 14:53:58,0.670s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.001s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.001s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.001s,PASSED
urlFlag = true,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.000s,PASSED
DRMFlag = true,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:53:58,2022-01-26 14:53:58,0.001s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 14:53:58,2022-01-26 14:54:23,25.081s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:54:23,2022-01-26 14:54:23,0.004s,PASSED
,,,,,,,
Test Cases/CheckEpisodes,,,,2022-01-26 14:54:23,2022-01-26 14:55:28,1m - 4.640s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:54:23,2022-01-26 14:54:25,1.636s,PASSED
ids = CropResponse().getIdsList(Episodes),,,,2022-01-26 14:54:25,2022-01-26 14:54:27,1.810s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.001s,PASSED
urlFlag = true,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.000s,PASSED
DRMFlag = true,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:54:27,2022-01-26 14:54:27,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 14:54:27,2022-01-26 14:55:28,1m - 1.077s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:55:28,2022-01-26 14:55:28,0.001s,PASSED
,,,,,,,
Test Cases/CheckMovies,,,,2022-01-26 14:55:28,2022-01-26 14:56:46,1m - 18.491s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:55:28,2022-01-26 14:55:29,1.507s,PASSED
ids = CropResponse().getIdsList(Movies),,,,2022-01-26 14:55:29,2022-01-26 14:55:30,0.783s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
urlFlag = true,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
DRMFlag = true,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:55:30,2022-01-26 14:55:30,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 14:55:30,2022-01-26 14:56:46,1m - 16.084s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:56:46,2022-01-26 14:56:46,0.001s,PASSED
