Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 15:23:58,2022-01-26 15:24:41,42.895s,PASSED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 15:23:58,2022-01-26 15:24:41,42.666s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 15:23:58,2022-01-26 15:24:03,4.499s,PASSED
ids = CropResponse().getIdsList(Clips),,,,2022-01-26 15:24:03,2022-01-26 15:24:05,2.618s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
urlFlag = true,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
DRMFlag = true,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 15:24:05,2022-01-26 15:24:05,0.001s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 15:24:05,2022-01-26 15:24:41,35.171s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 15:24:41,2022-01-26 15:24:41,0.007s,PASSED
