Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 13:45:55,2022-01-26 13:46:08,13.369s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 13:45:55,2022-01-26 13:46:04,8.908s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:45:55,2022-01-26 13:45:58,3.590s,PASSED
"ids = [""932474"", ""932470"", ""932456"", ""11112"", ""932447"", ""failed"", ""932444""]",,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.000s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.001s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.054s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.001s,PASSED
urlFlag = true,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.000s,PASSED
DRMFlag = true,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.001s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:45:59,2022-01-26 13:45:59,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 13:45:59,2022-01-26 13:46:04,5.085s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:46:04,2022-01-26 13:46:04,0.007s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 13:46:04,2022-01-26 13:46:08,4.306s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:46:04,2022-01-26 13:46:06,1.721s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-26 13:46:06,2022-01-26 13:46:06,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-26 13:46:06,2022-01-26 13:46:06,0.001s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-26 13:46:06,2022-01-26 13:46:06,0.000s,PASSED
"emailBody = """"",,,,2022-01-26 13:46:06,2022-01-26 13:46:06,0.001s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-26 13:46:06,2022-01-26 13:46:08,2.406s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:46:08,2022-01-26 13:46:08,0.001s,PASSED
