Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 13:53:33,2022-01-26 13:53:46,13.074s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 13:53:33,2022-01-26 13:53:42,8.614s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:53:33,2022-01-26 13:53:36,3.344s,PASSED
"ids = [""932474"", ""932470"", ""932456"", ""11112"", ""932447"", ""failed"", ""932444""]",,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.000s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.001s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.000s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.001s,PASSED
urlFlag = true,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.000s,PASSED
DRMFlag = true,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.001s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 13:53:36,2022-01-26 13:53:36,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 13:53:36,2022-01-26 13:53:42,5.026s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:53:42,2022-01-26 13:53:42,0.007s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 13:53:42,2022-01-26 13:53:46,4.307s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 13:53:42,2022-01-26 13:53:43,1.724s,PASSED
clipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-26 13:53:43,2022-01-26 13:53:43,0.001s,PASSED
clipsPassedResult = getClipsPassedInstance().getClipsPassedResults(),,,,2022-01-26 13:53:43,2022-01-26 13:53:43,0.004s,PASSED
"println(""clipsFailedResult Size = "" + clipsFailedResult.size())",,,,2022-01-26 13:53:43,2022-01-26 13:53:43,0.000s,PASSED
"emailBody = """"",,,,2022-01-26 13:53:43,2022-01-26 13:53:43,0.000s,PASSED
if (clipsFailedResult.size() > 0),,,,2022-01-26 13:53:43,2022-01-26 13:53:46,2.411s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 13:53:46,2022-01-26 13:53:46,0.001s,PASSED
