Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 14:41:23,2022-01-26 14:41:52,29.230s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 14:41:23,2022-01-26 14:41:52,29.072s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:41:23,2022-01-26 14:41:27,3.718s,PASSED
ids = CropResponse().getIdsList(Clips),,,,2022-01-26 14:41:27,2022-01-26 14:41:28,0.663s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.000s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.001s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.000s,PASSED
urlFlag = true,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.001s,PASSED
DRMFlag = true,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:41:28,2022-01-26 14:41:28,0.141s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 14:41:28,2022-01-26 14:41:52,24.375s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:41:52,2022-01-26 14:41:52,0.005s,PASSED
