Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Media Monitoring,,,,2022-01-26 14:38:05,2022-01-26 14:38:43,38.113s,FAILED
,,,,,,,
Test Cases/CheckClips,,,,2022-01-26 14:38:05,2022-01-26 14:38:39,33.790s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:38:05,2022-01-26 14:38:10,4.530s,PASSED
ids = CropResponse().getIdsList(Clips),,,,2022-01-26 14:38:10,2022-01-26 14:38:11,1.111s,PASSED
statusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.000s,PASSED
responseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.001s,PASSED
DRM = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.000s,PASSED
DRMStatusCode = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.001s,PASSED
DRMresponseBody = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.000s,PASSED
urlFlag = true,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.001s,PASSED
DRMFlag = true,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.000s,PASSED
url = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2022-01-26 14:38:11,2022-01-26 14:38:11,0.000s,PASSED
"for ([i = 0, i < ids.size(), (i++)])",,,,2022-01-26 14:38:11,2022-01-26 14:38:39,27.946s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:38:39,2022-01-26 14:38:39,0.005s,PASSED
,,,,,,,
Test Cases/SendEmail,,,,2022-01-26 14:38:39,2022-01-26 14:38:43,4.167s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-01-26 14:38:39,2022-01-26 14:38:41,1.478s,PASSED
ClipsFailedResult = getClipsFailedInstance().getClipsFailedResults(),,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.001s,PASSED
EpisodesFailedResult = getEpisodesFailedInstance().getEpisodesFailedResults(),,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.004s,PASSED
MoviesFailedResult = getMoviesFailedInstance().getMoviesFailedResults(),,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.003s,PASSED
ClipsFailedNum = ClipsFailedResult.size(),,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.000s,PASSED
EpisodesFailedNum = EpisodesFailedResult.size(),,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.000s,PASSED
MoviesFailedNum = MoviesFailedResult.size(),,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.000s,PASSED
"println(""ClipsFailedNum Size = "" + ClipsFailedNum)",,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.000s,PASSED
"println(""ClipsFailedNum Size = "" + EpisodesFailedNum)",,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.000s,PASSED
"println(""ClipsFailedNum Size = "" + EpisodesFailedNum)",,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.000s,PASSED
"emailBody = """"",,,,2022-01-26 14:38:41,2022-01-26 14:38:41,0.000s,PASSED
if (ClipsFailedNum > 0 || EpisodesFailedNum > 0 || EpisodesFailedNum > 0),,,,2022-01-26 14:38:41,2022-01-26 14:38:43,2.522s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-01-26 14:38:43,2022-01-26 14:38:43,0.002s,PASSED
